chose_left,chose_right,reward_left,reward_right,choice,reward,reward_choice,subjID,onlyReward,blocks,contrast_difference,abs_condiff,rand_condiff,trial,q_reward,mu
1,0,1,0,0,1,1,139,0,2,0.0183610396928005,0.0183610396928005,-0.00662161624802611,21,0,0
1,0,1,0,0,1,1,139,0,2,0.0369425989056235,0.0369425989056235,-0.0308190040304074,22,0,0
1,0,1,0,0,1,1,139,0,2,0.0725181672820535,0.0725181672820535,0.0187608867313495,23,0,0
1,0,0,1,0,0,0,139,1,2,0.0774880219460655,0.0774880219460655,0.0493092217072618,24,0,0
0,1,1,0,1,0,0,139,0,2,-0.079212623814896,0.079212623814896,-0.014716192755055,25,0,0
0,1,1,0,1,0,0,139,0,3,-0.368179398070861,0.368179398070861,0.0332194310135879,1,0,0
1,0,0,1,0,0,0,139,1,3,-0.431490994673568,0.431490994673568,-0.00497157967848647,2,0,0
1,0,1,0,0,1,1,139,0,3,0.406826465550381,0.406826465550381,0.0159622805805719,3,0,0
0,1,1,0,1,0,0,139,0,3,-0.418297947235285,0.418297947235285,-0.0388894305831954,4,0,0
1,0,1,0,0,1,1,139,0,3,0.421792596187167,0.421792596187167,0.0720476270309423,5,0,0
1,0,0,1,0,0,0,139,1,3,0.417793503935703,0.417793503935703,0.0165269222834938,6,0,0
0,1,1,0,1,0,0,139,0,3,0.37639133156245,0.37639133156245,-0.0571939823139412,7,0,0
1,0,0,1,0,0,0,139,1,3,0.386739500614768,0.386739500614768,0.0209563206346502,8,0,0
1,0,0,1,0,0,0,139,1,3,-0.409401828310331,0.409401828310331,-0.0605591785496054,9,0,0
0,1,0,1,1,1,1,139,1,3,-0.411322732508341,0.411322732508341,0.0306733785834832,10,0,0
0,1,1,0,1,0,0,139,0,3,-0.378256181348595,0.378256181348595,-0.0239310478012955,11,0,0
1,0,0,1,0,0,0,139,1,3,-0.350173304535416,0.350173304535416,-0.0160920381606477,12,0,0
0,1,1,0,1,0,0,139,0,3,0.437381417657529,0.437381417657529,-0.0312174651529706,13,0,0
1,0,1,0,0,1,1,139,0,3,0.43211516076895,0.43211516076895,0.0739199778017012,14,0,0
0,1,1,0,1,0,0,139,0,3,-0.42911007138921,0.42911007138921,0.046956026504489,15,0,0
1,0,1,0,0,1,1,139,0,3,0.410099357300774,0.410099357300774,0.0323228054117367,16,0,0
0,1,0,1,1,1,1,139,1,3,-0.385241806069209,0.385241806069209,0.0289254160388468,17,0,0
0,1,0,1,1,1,1,139,1,3,-0.383267598283241,0.383267598283241,-0.0023624903279074,18,0,0
1,0,0,1,0,0,0,139,1,3,0.417697318008194,0.417697318008194,-0.0100892555784641,19,0,0
1,0,1,0,0,1,1,139,0,3,0.449874806041465,0.449874806041465,0.0613557628868858,20,0,0
1,0,0,1,0,0,0,139,1,3,0.35967196571316,0.35967196571316,0.0345884458559578,21,0,0
0,1,0,1,1,1,1,139,1,3,-0.413102796994657,0.413102796994657,0.0643437292322716,22,0,0
0,1,0,1,1,1,1,139,1,3,-0.440016849375251,0.440016849375251,-0.0732043097389701,23,0,0
0,1,0,1,1,1,1,139,1,3,-0.3940304781917,0.3940304781917,0.0260320221280428,24,0,0
1,0,0,1,0,0,0,139,1,3,0.388020055262532,0.388020055262532,-0.0747643954205468,25,0,0
1,0,1,0,0,1,1,139,0,4,0.0875271270369445,0.0875271270369445,-0.0240043565071881,1,0,0
0,1,1,0,1,0,0,139,0,4,-0.0673937125861985,0.0673937125861985,-0.0608724909849497,2,0,0
0,1,0,1,1,1,1,139,1,4,-0.0465351672974155,0.0465351672974155,0.0719506012564363,3,0,0
1,0,1,0,0,1,1,139,0,4,0.0739558387063325,0.0739558387063325,0.0163231026465049,4,0,0
1,0,1,0,0,1,1,139,0,4,0.0665710042613065,0.0665710042613065,0.0690627834684262,5,0,0
0,1,1,0,1,0,0,139,0,4,-0.0570048419029495,0.0570048419029495,-0.0410710992328629,6,0,0
0,1,0,1,1,1,1,139,1,4,0.00374705558306099,0.00374705558306099,0.0656367382145305,7,0,0
1,0,1,0,0,1,1,139,0,4,0.00924982354829348,0.00924982354829348,-0.0672834744528958,8,0,0
1,0,1,0,0,1,1,139,0,4,0.0239493028939645,0.0239493028939645,-0.0373610506381979,9,0,0
1,0,1,0,0,1,1,139,0,4,0.0491131465576955,0.0491131465576955,0.0723310112718348,10,0,0
0,1,0,1,1,1,1,139,1,4,-0.0266673924723805,0.0266673924723805,-0.074932563014128,11,0,0
0,1,0,1,1,1,1,139,1,4,-0.086634637219146,0.086634637219146,-0.0530844583109558,12,0,0
0,1,1,0,1,0,0,139,0,4,-0.0557811986307275,0.0557811986307275,-0.0467215939389907,13,0,0
0,1,0,1,1,1,1,139,1,4,-0.0464335101588685,0.0464335101588685,-0.0541858243686985,14,0,0
0,1,1,0,1,0,0,139,0,4,-0.023506769735735,0.023506769735735,0.0276974964303024,15,0,0
0,1,0,1,1,1,1,139,1,4,-0.00436203786400552,0.00436203786400552,0.00912656469087525,16,0,0
1,0,1,0,0,1,1,139,0,4,0.0619135339497785,0.0619135339497785,0.0191486054038328,17,0,0
