chose_left,chose_right,reward_left,reward_right,choice,reward,reward_choice,subjID,onlyReward,blocks,contrast_difference,abs_condiff,rand_condiff,categoricalCondiff,trial,q_reward,mu
1,0,1,0,0,1,1,1,0,4,-0.1,0.1,-0.0536596539374525,-1,5,0,0
0,1,0,1,1,1,1,1,1,4,0.0473684210526316,0.0473684210526316,-0.0482173818142453,1,6,0,0
1,0,1,0,0,1,1,1,0,4,-0.068421052631579,0.068421052631579,-0.0490741736566739,-1,7,0,0
0,1,0,1,1,1,1,1,1,4,0.0157894736842105,0.0157894736842105,0.0763562682346718,1,8,0,0
0,1,0,1,1,1,1,1,1,4,0.0157894736842105,0.0157894736842105,-0.0140593713909333,1,9,0,0
0,1,0,1,1,1,1,1,1,4,0.0157894736842105,0.0157894736842105,-0.048918917477337,1,10,0,0
0,1,0,1,1,1,1,1,1,4,0.068421052631579,0.068421052631579,-0.0658880246918095,1,11,0,0
0,1,0,1,1,1,1,1,1,4,0.0789473684210526,0.0789473684210526,0.0237391101993716,1,12,0,0
1,0,1,0,0,1,1,1,0,4,-0.0157894736842105,0.0157894736842105,-0.0294318352273614,-1,13,0,0
1,0,1,0,0,1,1,1,0,4,-0.0578947368421053,0.0578947368421053,0.0273959222602474,-1,14,0,0
0,1,0,1,1,1,1,1,1,4,0.0263157894736842,0.0263157894736842,0.0640978848575343,1,15,0,0
0,1,0,1,1,1,1,1,1,4,0.068421052631579,0.068421052631579,0.031749875140635,1,16,0,0
1,0,1,0,0,1,1,1,0,4,-0.0473684210526316,0.0473684210526316,-0.0574630427559409,-1,17,0,0
1,0,1,0,0,1,1,1,0,4,-0.0263157894736842,0.0263157894736842,0.0729480517888314,-1,18,0,0
1,0,1,0,0,1,1,1,0,4,-0.0368421052631579,0.0368421052631579,0.0771054457691136,-1,19,0,0
0,1,0,1,1,1,1,1,1,4,0.0473684210526316,0.0473684210526316,-0.0190689439397841,1,20,0,0
1,0,1,0,0,1,1,1,0,4,-0.0894736842105263,0.0894736842105263,-0.0149182343105788,-1,21,0,0
0,1,0,1,1,1,1,1,1,4,0.0578947368421053,0.0578947368421053,0.0798007108448736,1,22,0,0
1,0,1,0,0,1,1,1,0,4,-0.1,0.1,-0.0400479009470626,-1,23,0,0
1,0,1,0,0,1,1,1,0,4,-0.0157894736842105,0.0157894736842105,-0.0234032903127095,-1,24,0,0
1,0,1,0,0,1,1,1,0,4,-0.0368421052631579,0.0368421052631579,0.0263294660639419,-1,25,0,0
1,0,0,1,0,0,0,1,1,5,0.0368421052631579,0.0368421052631579,0.00761963724605971,1,1,0,0
0,1,0,1,1,1,1,1,1,5,0.0894736842105263,0.0894736842105263,0.0403353309783493,1,2,0,0
1,0,1,0,0,1,1,1,0,5,-0.00526315789473684,0.00526315789473684,0.00571767017465509,-1,3,0,0
1,0,1,0,0,1,1,1,0,5,-0.0578947368421053,0.0578947368421053,-0.0228962822439465,-1,4,0,0
0,1,0,1,1,1,1,1,1,5,0.0263157894736842,0.0263157894736842,-0.0415346495116302,1,5,0,0
0,1,0,1,1,1,1,1,1,5,0.0894736842105263,0.0894736842105263,-0.0173572899642902,1,6,0,0
0,1,0,1,1,1,1,1,1,5,0.0578947368421053,0.0578947368421053,0.0417146461498874,1,7,0,0
0,1,1,0,1,0,0,1,0,5,-0.0263157894736842,0.0263157894736842,-0.0549749392157459,-1,8,0,0
1,0,1,0,0,1,1,1,0,5,-0.0894736842105263,0.0894736842105263,0.0572496845979516,-1,9,0,0
1,0,1,0,0,1,1,1,0,5,-0.00526315789473684,0.00526315789473684,0.00333271180252302,-1,10,0,0
0,1,0,1,1,1,1,1,1,5,0.068421052631579,0.068421052631579,0.0114028081637769,1,11,0,0
0,1,0,1,1,1,1,1,1,5,0.0789473684210526,0.0789473684210526,0.0446569121652512,1,12,0,0
1,0,1,0,0,1,1,1,0,5,-0.0473684210526316,0.0473684210526316,0.00579379684081939,-1,13,0,0
0,1,0,1,1,1,1,1,1,5,0.1,0.1,0.0492066654505998,1,14,0,0
1,0,0,1,0,0,0,1,1,5,0.0368421052631579,0.0368421052631579,-0.0784490626352977,1,15,0,0
0,1,0,1,1,1,1,1,1,5,0.0473684210526316,0.0473684210526316,0.0331529223109159,1,16,0,0
0,1,0,1,1,1,1,1,1,5,0.0578947368421053,0.0578947368421053,0.0203894779125397,1,17,0,0
1,0,1,0,0,1,1,1,0,5,-0.0578947368421053,0.0578947368421053,0.0647696719257475,-1,18,0,0
0,1,0,1,1,1,1,1,1,5,0.0263157894736842,0.0263157894736842,0.0248154024505295,1,19,0,0
1,0,1,0,0,1,1,1,0,5,-0.0157894736842105,0.0157894736842105,0.0614122830889182,-1,20,0,0
1,0,1,0,0,1,1,1,0,5,-0.0263157894736842,0.0263157894736842,0.0525541948853633,-1,21,0,0
1,0,1,0,0,1,1,1,0,5,-0.00526315789473684,0.00526315789473684,-0.00986915295291527,-1,22,0,0
0,1,0,1,1,1,1,1,1,5,0.00526315789473684,0.00526315789473684,0.0566588174411561,1,23,0,0
1,0,1,0,0,1,1,1,0,5,-0.0473684210526316,0.0473684210526316,0.0460431250254223,-1,24,0,0
0,1,0,1,1,1,1,1,1,5,0.0157894736842105,0.0157894736842105,0.0383140336409603,1,25,0,0
1,0,1,0,0,1,1,1,0,6,-0.0894736842105263,0.0894736842105263,0.033292022868902,-1,1,0,0
0,1,0,1,1,1,1,1,1,6,0.0157894736842105,0.0157894736842105,0.0262228751856782,1,2,0,0
0,1,1,0,1,0,0,1,0,6,-0.0368421052631579,0.0368421052631579,-0.00290795561684826,-1,3,0,0
0,1,0,1,1,1,1,1,1,6,0.00526315789473684,0.00526315789473684,0.073657762742398,1,4,0,0
1,0,1,0,0,1,1,1,0,6,-0.0368421052631579,0.0368421052631579,-0.0270881212248132,-1,5,0,0
1,0,1,0,0,1,1,1,0,6,-0.1,0.1,-0.00723828951308253,-1,6,0,0
0,1,0,1,1,1,1,1,1,6,0.1,0.1,-0.0470366123639586,1,7,0,0
1,0,1,0,0,1,1,1,0,6,-0.0368421052631579,0.0368421052631579,0.0180758104945049,-1,8,0,0
0,1,0,1,1,1,1,1,1,6,0.0473684210526316,0.0473684210526316,-0.0617303711288597,1,9,0,0
1,0,1,0,0,1,1,1,0,6,-0.1,0.1,0.0373433867507732,-1,10,0,0
1,0,1,0,0,1,1,1,0,6,-0.0894736842105263,0.0894736842105263,0.0762750707835954,-1,11,0,0
0,1,0,1,1,1,1,1,1,6,0.0368421052631579,0.0368421052631579,-0.055690376118814,1,12,0,0
0,1,0,1,1,1,1,1,1,6,0.0263157894736842,0.0263157894736842,0.00566564055946112,1,13,0,0
1,0,1,0,0,1,1,1,0,6,-0.00526315789473684,0.00526315789473684,0.0354812540986874,-1,14,0,0
1,0,1,0,0,1,1,1,0,6,-0.068421052631579,0.068421052631579,0.0703967930067274,-1,15,0,0
0,1,0,1,1,1,1,1,1,6,0.0789473684210526,0.0789473684210526,-0.0130147431035913,1,16,0,0
