chose_left,chose_right,reward_left,reward_right,choice,reward,reward_choice,subjID,chose_low,chose_high,onlyReward,blocks,contrast_difference,abs_condiff,rand_condiff,trial,q_reward,mu,newChose_left,newChose_right
1,0,1,0,0,1,1,139,0,1,0,6,0.427876058789838,0.427876058789838,-0.0757584064678304,17,0,0,1,0
1,0,0,1,0,0,0,139,0,1,1,6,0.370895373780304,0.370895373780304,-0.0583313643864177,18,0,0,1,0
1,0,0,1,0,0,0,139,1,0,1,6,-0.396156507918295,0.396156507918295,-0.0687663882975927,19,0,0,1,0
1,0,0,1,0,0,0,139,1,0,1,6,-0.386930239552391,0.386930239552391,0.0618652696561578,20,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,6,-0.364561752456948,0.364561752456948,0.0223833019627692,21,0,0,0,1
1,0,0,1,0,0,0,139,0,1,1,6,0.358187239580731,0.358187239580731,0.0565591755163708,22,0,0,1,0
0,1,0,1,1,1,1,139,0,1,1,6,-0.438494744001733,0.438494744001733,0.0255551390117744,23,0,0,0,1
1,0,1,0,0,1,1,139,0,1,0,6,0.367605592523528,0.367605592523528,-0.00870254100323775,24,0,0,1,0
1,0,0,1,0,0,0,139,0,1,1,6,0.431571011826075,0.431571011826075,0.00988048957480332,25,0,0,1,0
1,0,1,0,0,1,1,139,1,0,0,7,-0.0619791077936035,0.0619791077936035,0.0406735002737575,1,0,0,1,0
0,1,1,0,1,0,0,139,1,0,0,7,0.0109811893620775,0.0109811893620775,0.00737543782069557,2,0,0,0,1
0,1,0,1,1,1,1,139,1,0,1,7,0.0844514208605385,0.0844514208605385,0.00112372471743019,3,0,0,0,1
0,1,0,1,1,1,1,139,1,0,1,7,0.0884965078552515,0.0884965078552515,0.075471706302066,4,0,0,0,1
0,1,0,1,1,1,1,139,1,0,1,7,0.0243046971598715,0.0243046971598715,-0.0583009959508478,5,0,0,0,1
0,1,1,0,1,0,0,139,1,0,0,7,0.0850835325846615,0.0850835325846615,-0.0351104502251623,6,0,0,0,1
1,0,1,0,0,1,1,139,1,0,0,7,-0.0787451288892155,0.0787451288892155,-0.0445742981283508,7,0,0,1,0
0,1,0,1,1,1,1,139,1,0,1,7,0.050470047376749,0.050470047376749,-0.0682311063157994,8,0,0,0,1
1,0,0,1,0,0,0,139,1,0,1,7,-0.0287812828529875,0.0287812828529875,0.038455197481927,9,0,0,1,0
1,0,1,0,0,1,1,139,1,0,0,7,-0.0183337223502815,0.0183337223502815,-0.0356505668160965,10,0,0,1,0
0,1,1,0,1,0,0,139,1,0,0,7,0.0808163483457685,0.0808163483457685,0.0661529434878865,11,0,0,0,1
1,0,0,1,0,0,0,139,1,0,1,7,-0.0934520237525665,0.0934520237525665,0.0611522317316944,12,0,0,1,0
0,1,1,0,1,0,0,139,0,1,0,7,-0.0494344838145665,0.0494344838145665,0.0187284507042079,13,0,0,0,1
0,1,0,1,1,1,1,139,1,0,1,7,0.0699874555899665,0.0699874555899665,0.0336425909363278,14,0,0,0,1
1,0,1,0,0,1,1,139,1,0,0,7,-0.0577056244891615,0.0577056244891615,0.0145630382983005,15,0,0,1,0
1,0,1,0,0,1,1,139,1,0,0,7,-0.0778208267096885,0.0778208267096885,-0.0616332444522564,16,0,0,1,0
1,0,1,0,0,1,1,139,1,0,0,7,-0.0670788883802105,0.0670788883802105,0.0632770753792154,17,0,0,1,0
1,0,0,1,0,0,0,139,1,0,1,7,-0.0493822225797755,0.0493822225797755,-0.0258409871807483,18,0,0,1,0
1,0,1,0,0,1,1,139,1,0,0,7,-0.050722042659376,0.050722042659376,-0.00582268486885498,19,0,0,1,0
