chose_left,chose_right,reward_left,reward_right,subjID,q_reward,mu,blocks,contrast_difference,abs_condiff,trial
1,0,1,0,139,0.6,0.6,8,-0.433640613359002,0.433640613359002,14
1,0,1,0,139,0.44,0.56,8,-0.368525760147387,0.368525760147387,15
1,0,1,0,139,0.61,0.61,8,-0.351146518979774,0.351146518979774,16
0,1,1,0,139,0.6,0.6,8,0.403778524891497,0.403778524891497,17
1,0,1,0,139,0.42,0.58,8,-0.399109256687519,0.399109256687519,18
0,1,1,0,139,0.61,0.61,8,0.412169189229595,0.412169189229595,19
0,1,1,0,139,0.62,0.62,8,0.372277237679986,0.372277237679986,20
1,0,1,0,139,0.62,0.62,8,-0.393289873420611,0.393289873420611,21
0,1,1,0,139,0.64,0.64,8,0.409201243503119,0.409201243503119,22
1,0,1,0,139,0.31,0.69,8,-0.387258873518605,0.387258873518605,23
1,0,1,0,139,0.28,0.72,8,-0.411972138004414,0.411972138004414,24
0,1,0,1,139,0.3,0.7,8,0.419801971743071,0.419801971743071,25
0,1,0,1,139,0.5,0.5,9,0.0531729208581225,0.0531729208581225,1
0,1,0,1,139,0.5,0.5,9,0.0780061548120595,0.0780061548120595,2
1,0,1,0,139,0.5,0.5,9,0.046037307123765,0.046037307123765,3
0,1,0,1,139,0.5,0.5,9,-0.0204106393344935,0.0204106393344935,4
0,1,1,0,139,0.5,0.5,9,-0.042834756700333,0.042834756700333,5
1,0,1,0,139,0.55,0.55,9,0.0736961233082525,0.0736961233082525,6
0,1,0,1,139,0.5,0.5,9,-0.00376905386086451,0.00376905386086451,7
1,0,1,0,139,0.5,0.5,9,-0.00636787837100952,0.00636787837100952,8
1,0,1,0,139,0.5,0.5,9,0.0770669801454965,0.0770669801454965,9
0,1,0,1,139,0.5,0.5,9,0.00149117899881451,0.00149117899881451,10
0,1,1,0,139,0.5,0.5,9,-0.0719641744453475,0.0719641744453475,11
1,0,1,0,139,0.55,0.55,9,0.0346432341603115,0.0346432341603115,12
0,1,0,1,139,0.47,0.53,9,-0.0487281607384305,0.0487281607384305,13
0,1,1,0,139,0.54,0.54,9,-0.0788478025336355,0.0788478025336355,14
1,0,1,0,139,0.53,0.53,9,0.0626761088651605,0.0626761088651605,15
0,1,0,1,139,0.47,0.53,9,-0.0428212521499925,0.0428212521499925,16
1,0,1,0,139,0.55,0.55,9,0.0709948960540585,0.0709948960540585,17
1,0,1,0,139,0.47,0.53,9,0.0981249912141265,0.0981249912141265,18
0,1,1,0,139,0.53,0.53,9,-0.0219838793759625,0.0219838793759625,19
0,1,1,0,139,0.55,0.55,9,-0.087015424775364,0.087015424775364,20
0,1,1,0,139,0.54,0.54,9,-0.0415352648505695,0.0415352648505695,21
1,0,1,0,139,0.54,0.54,9,0.0574860948946795,0.0574860948946795,22
1,0,1,0,139,0.46,0.54,9,0.00770156482288648,0.00770156482288648,23
0,1,1,0,139,0.59,0.59,9,-0.0786632572296825,0.0786632572296825,24
1,0,1,0,139,0.63,0.63,9,0.0569595301976045,0.0569595301976045,25
1,0,1,0,139,0.5,0.5,10,0.0197811486022925,0.0197811486022925,1
1,0,1,0,139,0.5,0.5,10,0.00470246305384051,0.00470246305384051,2
1,0,1,0,139,0.5,0.5,10,0.0579286774107835,0.0579286774107835,3
1,0,1,0,139,0.5,0.5,10,0.00940695406485451,0.00940695406485451,4
0,1,0,1,139,0.5,0.5,10,-0.0574925318110855,0.0574925318110855,5
0,1,0,1,139,0.5,0.5,10,-0.0044451296162735,0.0044451296162735,6
1,0,1,0,139,0.5,0.5,10,0.0892212806340725,0.0892212806340725,7
1,0,1,0,139,0.5,0.5,10,-0.0255280055885755,0.0255280055885755,8
0,1,1,0,139,0.5,0.5,10,-0.044866898770809,0.044866898770809,9
1,0,1,0,139,0.5,0.5,10,0.0498915730315545,0.0498915730315545,10
0,1,0,1,139,0.5,0.5,10,-0.0170112949359545,0.0170112949359545,11
0,1,1,0,139,0.5,0.5,10,0.0741733084509005,0.0741733084509005,12
0,1,0,1,139,0.5,0.5,10,0.0541046367527925,0.0541046367527925,13
1,0,1,0,139,0.5,0.5,10,0.00204948952611547,0.00204948952611547,14
1,0,1,0,139,0.5,0.5,10,-0.0733235428706035,0.0733235428706035,15
1,0,1,0,139,0.57,0.57,10,-0.0379514947683315,0.0379514947683315,16
1,0,1,0,139,0.56,0.56,10,-0.0156790131095005,0.0156790131095005,17
1,0,1,0,139,0.5,0.5,10,-0.0600021221031685,0.0600021221031685,18
0,1,1,0,139,0.55,0.55,10,0.0349512447021695,0.0349512447021695,19
0,1,1,0,139,0.56,0.56,10,0.0419433593008325,0.0419433593008325,20
1,0,1,0,139,0.6,0.6,10,-0.0740496332565415,0.0740496332565415,21
1,0,1,0,139,0.44,0.56,10,-0.0206373943899635,0.0206373943899635,22
1,0,1,0,139,0.59,0.59,10,-0.0682267088407655,0.0682267088407655,23
1,0,1,0,139,0.41,0.59,10,-0.0445162554846265,0.0445162554846265,24
0,1,0,1,139,0.36,0.64,10,0.0171107067110915,0.0171107067110915,25
0,1,0,1,139,0.5,0.5,11,0.40710668365818,0.40710668365818,1
0,1,0,1,139,0.5,0.5,11,-0.405585853767782,0.405585853767782,2
1,0,1,0,139,0.5,0.5,11,-0.423136083442689,0.423136083442689,3
1,0,1,0,139,0.5,0.5,11,-0.448327503295373,0.448327503295373,4
1,0,1,0,139,0.5,0.5,11,-0.419152332761376,0.419152332761376,5
1,0,1,0,139,0.5,0.5,11,0.37115033676359,0.37115033676359,6
0,1,0,1,139,0.5,0.5,11,-0.413653995437093,0.413653995437093,7
1,0,1,0,139,0.5,0.5,11,-0.414466467091861,0.414466467091861,8
0,1,0,1,139,0.5,0.5,11,0.406169456626186,0.406169456626186,9
1,0,1,0,139,0.5,0.5,11,-0.39818346120403,0.39818346120403,10
1,0,1,0,139,0.5,0.5,11,-0.408503849741893,0.408503849741893,11
1,0,1,0,139,0.5,0.5,11,-0.421830431813972,0.421830431813972,12
1,0,1,0,139,0.5,0.5,11,0.421586198611013,0.421586198611013,13
1,0,1,0,139,0.5,0.5,11,0.442700565702364,0.442700565702364,14
1,0,1,0,139,0.5,0.5,11,0.355531469929647,0.355531469929647,15
1,0,1,0,139,0.5,0.5,11,0.357789277310362,0.357789277310362,16
1,0,1,0,139,0.5,0.5,11,0.424304981710395,0.424304981710395,17
1,0,1,0,139,0.5,0.5,11,0.385644880865709,0.385644880865709,18
1,0,1,0,139,0.5,0.5,11,0.422789406316374,0.422789406316374,19
1,0,1,0,139,0.5,0.5,11,0.40104732977805,0.40104732977805,20
1,0,1,0,139,0.5,0.5,11,-0.350419881656503,0.350419881656503,21
1,0,1,0,139,0.5,0.5,11,-0.383182967663645,0.383182967663645,22
1,0,1,0,139,0.45,0.55,11,-0.38139106881161,0.38139106881161,23
0,1,0,1,139,0.5,0.5,11,0.362391825879064,0.362391825879064,24
1,0,1,0,139,0.5,0.5,11,-0.441001061045924,0.441001061045924,25
0,1,1,0,139,0.5,0.5,12,0.0842628215161775,0.0842628215161775,1
1,0,1,0,139,0.5,0.5,12,-0.0427148807070285,0.0427148807070285,2
0,1,1,0,139,0.58,0.58,12,0.00526616910556549,0.00526616910556549,3
1,0,1,0,139,0.58,0.58,12,-0.00170301923081148,0.00170301923081148,4
1,0,1,0,139,0.67,0.67,12,-0.037442119839169,0.037442119839169,5
1,0,1,0,139,0.77,0.77,12,-0.0351901055110115,0.0351901055110115,6
1,0,1,0,139,0.77,0.77,12,-0.0913370600025735,0.0913370600025735,7
0,1,1,0,139,0.82,0.82,12,0.0329264987053615,0.0329264987053615,8
0,1,1,0,139,0.84,0.84,12,0.0601240737154775,0.0601240737154775,9
1,0,1,0,139,0.85,0.85,12,-0.0403692563516185,0.0403692563516185,10
0,1,1,0,139,0.87,0.87,12,0.0481020149966425,0.0481020149966425,11
0,1,1,0,139,0.89,0.89,12,0.0580800827208045,0.0580800827208045,12
1,0,1,0,139,0.89,0.89,12,-0.0392214244179165,0.0392214244179165,13
0,1,1,0,139,0.91,0.91,12,0.0974965329601785,0.0974965329601785,14
0,1,1,0,139,0.93,0.93,12,0.0544439305261945,0.0544439305261945,15
1,0,1,0,139,0.95,0.95,12,-0.07688206090358,0.07688206090358,16
1,0,1,0,139,0.95,0.95,12,-0.0761617713942465,0.0761617713942465,17
1,0,1,0,139,0.95,0.95,12,-0.0806589815919585,0.0806589815919585,18
0,1,1,0,139,0.96,0.96,12,0.0970302218979585,0.0970302218979585,19
0,1,1,0,139,0.95,0.95,12,0.0610168616204735,0.0610168616204735,20
0,1,1,0,139,0.97,0.97,12,0.0768579796218855,0.0768579796218855,21
0,1,1,0,139,0.97,0.97,12,0.00163641407961751,0.00163641407961751,22
1,0,1,0,139,0.96,0.96,12,-0.031930083841876,0.031930083841876,23
1,0,1,0,139,0.97,0.97,12,-0.0781410263139905,0.0781410263139905,24
NaN,NaN,NaN,NaN,139,NaN,NaN,12,NaN,NaN,25
