chose_left,chose_right,subjID,q_reward,mu,blocks,contrast_difference,abs_condiff,trial,reward
0.0,1.0,139,0.5,0.5,6,0.46214607168911415,0.428349197387429,6,0.0
0.0,1.0,139,0.56,0.56,6,-0.6778619711415703,0.439377328192867,7,0.0
1.0,0.0,139,0.5,0.5,6,0.20139713566717976,0.399335853106475,8,1.0
0.0,1.0,139,0.5,0.5,6,0.7317289166065293,0.427064569303941,9,1.0
1.0,0.0,139,0.5,0.5,6,0.9670432184071112,0.447608438667159,10,1.0
1.0,0.0,139,0.5,0.5,6,-0.8412684192439686,0.386355998082723,11,1.0
1.0,0.0,139,0.5,0.5,6,-0.1433054505981015,0.357120255064985,12,1.0
1.0,0.0,139,0.5,0.5,6,-0.5909142809071446,0.430848270570106,13,1.0
1.0,0.0,139,0.5,0.5,6,-0.09872701896253044,0.350577531648924,14,1.0
1.0,0.0,139,0.5,0.5,6,0.095527145257708,0.402473429303494,15,1.0
1.0,0.0,139,0.5,0.5,6,-0.8133465792603585,0.444824820288095,16,1.0
1.0,0.0,139,0.38,0.38,6,-0.4062784490386411,0.427876058789838,17,1.0
1.0,0.0,139,0.5,0.5,6,0.8551684803042949,0.370895373780304,18,1.0
1.0,0.0,139,0.5,0.5,6,0.13800746286039067,0.396156507918295,19,1.0
1.0,0.0,139,0.5,0.5,6,-0.08517600495277611,0.386930239552391,20,1.0
0.0,1.0,139,0.55,0.55,6,0.5070519815962291,0.364561752456948,21,0.0
1.0,0.0,139,0.5,0.5,6,0.4837243036840746,0.358187239580731,22,1.0
0.0,1.0,139,0.5,0.5,6,-0.9028419343114624,0.438494744001733,23,0.0
1.0,0.0,139,0.55,0.55,6,0.41739479088549203,0.367605592523528,24,1.0
1.0,0.0,139,0.45,0.55,6,0.6784866956101672,0.431571011826075,25,1.0
1.0,0.0,139,0.5,0.5,7,-0.6681242315860922,0.0619791077936035,1,1.0
0.0,1.0,139,0.5,0.5,7,0.5619958759999146,0.0109811893620775,2,1.0
0.0,1.0,139,0.56,0.56,7,-0.4269267665417962,0.0844514208605385,3,0.0
0.0,1.0,139,0.58,0.58,7,-0.38706049334088544,0.0884965078552515,4,0.0
0.0,1.0,139,0.58,0.58,7,0.330522930699366,0.0243046971598715,5,0.0
0.0,1.0,139,0.42,0.58,7,-0.7772156567845685,0.0850835325846615,6,1.0
1.0,0.0,139,0.62,0.62,7,0.32974489760658865,0.0787451288892155,7,1.0
0.0,1.0,139,0.65,0.65,7,0.7757135853524453,0.050470047376749,8,0.0
1.0,0.0,139,0.38,0.62,7,0.3926225364708127,0.0287812828529875,9,1.0
1.0,0.0,139,0.65,0.65,7,-0.11934424666918186,0.0183337223502815,10,1.0
0.0,1.0,139,0.39,0.61,7,-0.12357123124555058,0.0808163483457685,11,1.0
1.0,0.0,139,0.5,0.5,7,0.5301921904786131,0.0934520237525665,12,1.0
0.0,1.0,139,0.5,0.5,7,0.13128400245176564,0.0494344838145665,13,1.0
0.0,1.0,139,0.58,0.58,7,-0.8301916736163648,0.0699874555899665,14,0.0
1.0,0.0,139,0.64,0.64,7,0.1653421757228093,0.0577056244891615,15,1.0
1.0,0.0,139,0.63,0.63,7,0.6296874057868194,0.0778208267096885,16,1.0
1.0,0.0,139,0.7,0.7,7,-0.32586723310478005,0.0670788883802105,17,1.0
1.0,0.0,139,0.37,0.63,7,0.855153159150779,0.0493822225797755,18,1.0
1.0,0.0,139,0.65,0.65,7,0.5014340006863358,0.050722042659376,19,1.0
0.0,1.0,139,0.66,0.66,7,0.14812765029992891,0.0885988368365915,20,0.0
1.0,0.0,139,0.35,0.65,7,0.5032879775858368,0.0580963615467515,21,1.0
0.0,1.0,139,0.67,0.67,7,-0.8417020785235896,0.0104701349206405,22,0.0
0.0,1.0,139,0.67,0.67,7,0.7187781513612228,0.0234580791331655,23,0.0
0.0,1.0,139,0.33,0.67,7,0.6430082264011159,0.0099632247204975,24,1.0
0.0,1.0,139,0.32,0.68,7,0.8197433192204178,0.0492828801294175,25,1.0
0.0,1.0,139,0.5,0.5,8,-0.74273760498124,0.356825027649631,1,0.0
0.0,1.0,139,0.5,0.5,8,-0.8364398258120296,0.391748725122103,2,1.0
0.0,1.0,139,0.5,0.5,8,-0.7231688544368204,0.413109857129412,3,0.0
1.0,0.0,139,0.5,0.5,8,-0.20124257979439975,0.366464104927426,4,1.0
0.0,1.0,139,0.5,0.5,8,-0.15138627783801617,0.38681968646554,5,1.0
0.0,1.0,139,0.5,0.5,8,0.12443675746181126,0.393278430650121,6,1.0
1.0,0.0,139,0.57,0.57,8,-0.7555129007349899,0.386791689011535,7,1.0
0.0,1.0,139,0.5,0.5,8,-0.5972009972372583,0.403265801410975,8,0.0
0.0,1.0,139,0.5,0.5,8,0.6232886965680431,0.394457085790878,9,1.0
1.0,0.0,139,0.5,0.5,8,-0.0640248518865012,0.387471886281636,10,1.0
0.0,1.0,139,0.5,0.5,8,0.6158764189672203,0.358691623452391,11,1.0
1.0,0.0,139,0.5,0.5,8,-0.9851472429107739,0.389161429650771,12,1.0
0.0,1.0,139,0.5,0.5,8,0.10318545196481099,0.388808167788667,13,1.0
1.0,0.0,139,0.6,0.6,8,0.8638642961533562,0.433640613359002,14,1.0
1.0,0.0,139,0.44,0.56,8,0.1643509182917402,0.368525760147387,15,1.0
1.0,0.0,139,0.61,0.61,8,-0.5878085451094517,0.351146518979774,16,1.0
0.0,1.0,139,0.6,0.6,8,0.4355151245591151,0.403778524891497,17,0.0
1.0,0.0,139,0.42,0.58,8,-0.24202830060216463,0.399109256687519,18,1.0
0.0,1.0,139,0.61,0.61,8,0.33676789451891964,0.412169189229595,19,0.0
0.0,1.0,139,0.62,0.62,8,-0.9413605542124575,0.372277237679986,20,0.0
1.0,0.0,139,0.62,0.62,8,0.2718007187027123,0.393289873420611,21,1.0
0.0,1.0,139,0.64,0.64,8,-0.935604130124152,0.409201243503119,22,0.0
1.0,0.0,139,0.31,0.69,8,0.4895613102835319,0.387258873518605,23,1.0
1.0,0.0,139,0.28,0.72,8,-0.05417399552308977,0.411972138004414,24,1.0
0.0,1.0,139,0.3,0.7,8,-0.7564912890538926,0.419801971743071,25,1.0
0.0,1.0,139,0.5,0.5,9,0.08527185157701189,0.0531729208581225,1,1.0
0.0,1.0,139,0.5,0.5,9,-0.8664511135499906,0.0780061548120595,2,1.0
1.0,0.0,139,0.5,0.5,9,0.30672974270608133,0.046037307123765,3,1.0
0.0,1.0,139,0.5,0.5,9,0.9921726547356509,0.0204106393344935,4,1.0
0.0,1.0,139,0.5,0.5,9,0.5387946741479246,0.042834756700333,5,0.0
1.0,0.0,139,0.55,0.55,9,0.14754822731764894,0.0736961233082525,6,1.0
0.0,1.0,139,0.5,0.5,9,-0.7947294815784083,0.0037690538608645,7,1.0
1.0,0.0,139,0.5,0.5,9,0.3996681495458294,0.0063678783710095,8,1.0
1.0,0.0,139,0.5,0.5,9,0.3223357346558622,0.0770669801454965,9,1.0
0.0,1.0,139,0.5,0.5,9,-0.9018057387544474,0.0014911789988145,10,1.0
0.0,1.0,139,0.5,0.5,9,0.5845986036891813,0.0719641744453475,11,0.0
1.0,0.0,139,0.55,0.55,9,0.037433181781010294,0.0346432341603115,12,1.0
0.0,1.0,139,0.47,0.53,9,-0.1482646116001618,0.0487281607384305,13,1.0
0.0,1.0,139,0.54,0.54,9,0.576374347202931,0.0788478025336355,14,0.0
1.0,0.0,139,0.53,0.53,9,-0.1768615535823257,0.0626761088651605,15,1.0
0.0,1.0,139,0.47,0.53,9,-0.03794744898969293,0.0428212521499925,16,1.0
1.0,0.0,139,0.55,0.55,9,-0.6367423146523508,0.0709948960540585,17,1.0
1.0,0.0,139,0.47,0.53,9,-0.35736220098714266,0.0981249912141265,18,1.0
0.0,1.0,139,0.53,0.53,9,0.6910659931251375,0.0219838793759625,19,0.0
0.0,1.0,139,0.55,0.55,9,-0.6261925021465693,0.087015424775364,20,0.0
0.0,1.0,139,0.54,0.54,9,-0.16541787819331177,0.0415352648505695,21,0.0
1.0,0.0,139,0.54,0.54,9,0.9780690147905988,0.0574860948946795,22,1.0
1.0,0.0,139,0.46,0.54,9,-0.5268003765889613,0.0077015648228864,23,1.0
0.0,1.0,139,0.59,0.59,9,0.8336646658776579,0.0786632572296825,24,0.0
1.0,0.0,139,0.63,0.63,9,0.836794935611266,0.0569595301976045,25,1.0
1.0,0.0,139,0.5,0.5,10,-0.8174073155935964,0.0197811486022925,1,1.0
1.0,0.0,139,0.5,0.5,10,-0.07269455022896798,0.0047024630538405,2,1.0
1.0,0.0,139,0.5,0.5,10,0.004432670645574177,0.0579286774107835,3,1.0
1.0,0.0,139,0.5,0.5,10,-0.37266209989574506,0.0094069540648545,4,1.0
0.0,1.0,139,0.5,0.5,10,-0.905320925524526,0.0574925318110855,5,1.0
0.0,1.0,139,0.5,0.5,10,-0.5166287255092044,0.0044451296162735,6,1.0
1.0,0.0,139,0.5,0.5,10,-0.8089407168892782,0.0892212806340725,7,1.0
1.0,0.0,139,0.5,0.5,10,-0.5235001885751764,0.0255280055885755,8,1.0
0.0,1.0,139,0.5,0.5,10,0.6155821725803121,0.044866898770809,9,0.0
1.0,0.0,139,0.5,0.5,10,0.7899565757720233,0.0498915730315545,10,1.0
0.0,1.0,139,0.5,0.5,10,-0.9135542158407064,0.0170112949359545,11,1.0
0.0,1.0,139,0.5,0.5,10,-0.396106327474562,0.0741733084509005,12,0.0
0.0,1.0,139,0.5,0.5,10,0.9611643971885753,0.0541046367527925,13,1.0
1.0,0.0,139,0.5,0.5,10,0.07900964510747066,0.0020494895261154,14,1.0
1.0,0.0,139,0.5,0.5,10,0.2526187234197126,0.0733235428706035,15,1.0
1.0,0.0,139,0.57,0.57,10,-0.9889091831861909,0.0379514947683315,16,1.0
1.0,0.0,139,0.56,0.56,10,-0.030181113114881475,0.0156790131095005,17,1.0
1.0,0.0,139,0.5,0.5,10,0.9766570692447749,0.0600021221031685,18,1.0
0.0,1.0,139,0.55,0.55,10,-0.2496289450344038,0.0349512447021695,19,0.0
0.0,1.0,139,0.56,0.56,10,-0.8059236827222775,0.0419433593008325,20,0.0
1.0,0.0,139,0.6,0.6,10,-0.0761824768631032,0.0740496332565415,21,1.0
1.0,0.0,139,0.44,0.56,10,0.9260089319845164,0.0206373943899635,22,1.0
1.0,0.0,139,0.59,0.59,10,-0.31633877286996714,0.0682267088407655,23,1.0
1.0,0.0,139,0.41,0.59,10,0.5978454664300263,0.0445162554846265,24,1.0
